Algorithm,Time (ms),Evaluated Nodes,Pruned Nodes,Depth Reached,Total Time (ms),TT Hits
Minimax History,15000,837618,30803,6,15001
MTD-f,15000,424289,2746,3,15000,20982
Minimax History,30000,926887,70526,3,30248
MTD-f,30000,562521,32346,4,30000,39528
Minimax History,60000,1096238,147799,3,60273
MTD-f,60000,771839,100301,4,60000,111113
Minimax History,120000,1438425,311475,3,120186
MTD-f,120000,1781600,207679,5,120000,281240
Minimax History,240000,2204895,662655,3,240004
MTD-f,240000,5563518,214778,5,240000,285874
Minimax History,480000,34383411,789486,4,481324
MTD-f,480000,12631549,229060,5,480000,296104
Minimax History,960000,101085661,917413,4,960800
MTD-f,960000,26878967,258868,5,960000,318740
Minimax History,1920000,224235237,1141552,4,1921869
MTD-f,1920000,54404842,333007,5,1920000,437344
Minimax History,3840000,449571679,2165451,5,4114994
MTD-f,3840000,79801888,2771855,6,3840000,4687572
