Algorithm,Time (ms),Evaluated Nodes,Pruned Nodes,Depth Reached,Total Time (ms),TT Hits
Minimax History,15000,853913,39602,3,15210
MTD-f,15000,486941,3966,4,15000,21950
Minimax History,30000,958104,85689,3,30009
MTD-f,30000,211419,75009,4,30000,58462
Minimax History,60000,1156928,178178,3,60033
MTD-f,60000,535575,135360,4,60000,249285
Minimax History,120000,1563766,367987,4,120001
MTD-f,120000,3034411,54148,5,120000,222759
Minimax History,240000,2336130,726465,3,240204
MTD-f,240000,6804878,26761,5,240000,77686
Minimax History,480000,35542049,795456,4,485410
MTD-f,480000,13437539,39630,5,480000,157233
Minimax History,960000,102018213,919007,4,961071
MTD-f,960000,27841084,91047,5,960000,198155
Minimax History,1920000,228096904,1148003,4,1922861
MTD-f,1920000,27094458,1992768,6,1920000,3831816
